N,D,age,sex,year,n,mx,ax,qx,px,lx,dx,Lx,Tx,ex,lost,total,edagger,decile,age_2,check_death,check_pop
8685,33,47,1,1981,1,.00379965,.5,.00379245,.99620755,94947.509,360.0836,94767.467,2614186.2,27.532962,9752.656,1052788.7,10.527887,1,,,
8463,40,48,1,1981,1,.00472646,.5,.00471531,.99528469,94587.425,446.0093,94364.42,2519418.7,26.635874,11684.456,1052788.7,10.527887,1,,,
8781,31,49,1,1981,1,.00353035,.5,.00352413,.99647587,94141.416,331.7665,93975.532,2425054.3,25.759696,8395.1394,1052788.7,10.527887,1,,,
8634,40,50,1,1981,1,.00463285,.5,.00462214,.99537786,93809.649,433.6013,93592.849,2331078.7,24.84903,10582.285,1052788.7,10.527887,1,,,
8535,59,51,1,1981,1,.00691271,.5,.0068889,.9931111,93376.048,643.2584,93054.419,2237485.9,23.962097,15144.536,1052788.7,10.527887,1,,,
8376,56,52,1,1981,1,.00668577,.5,.00666349,.99333651,92732.789,617.9243,92423.827,2144431.5,23.124846,14027.334,1052788.7,10.527887,1,,,
8097,58,53,1,1981,1,.00716315,.5,.00713758,.99286242,92114.865,657.4775,91786.126,2052007.6,22.276618,14369.1,1052788.7,10.527887,1,,,
8178,64,54,1,1981,1,.00782587,.5,.00779537,.99220463,91457.388,712.9443,91100.915,1960221.5,21.433168,14982.81,1052788.7,10.527887,1,,,
8283,76,55,1,1981,1,.00917542,.5,.00913352,.99086648,90744.443,828.816,90330.035,1869120.6,20.597632,16734.009,1052788.7,10.527887,1,,,
7557,70,56,1,1981,1,.00926294,.5,.00922023,.99077977,89915.627,829.0429,89501.106,1778790.6,19.782886,16060.724,1052788.7,10.527887,1,,,
7905,94,57,1,1981,1,.01189121,.5,.01182093,.98817907,89086.584,1053.086,88560.041,1689289.5,18.962333,19558.711,1052788.7,10.527887,1,,,
7671,96,58,1,1981,1,.01251467,.5,.01243684,.98756316,88033.498,1094.859,87486.069,1600729.4,18.183185,19482.501,1052788.7,10.527887,1,,,
7845,103,59,1,1981,1,.01312938,.5,.01304375,.98695625,86938.64,1134.006,86371.636,1513243.4,17.405878,19298.057,1052788.7,10.527887,1,,,
7794,131,60,1,1981,1,.0168078,.5,.01666773,.98333227,85804.633,1430.168,85089.549,1426871.7,16.629308,23263.125,1052788.7,10.527887,1,,,
7056,139,61,1,1981,1,.01969955,.5,.0195074,.9804926,84374.465,1645.927,83551.502,1341782.2,15.902704,25603.914,1052788.7,10.527887,1,,,
